Index,School,Ranking,Class
524,WHITTIER COLLEGE,0.1,DIVISION 3
525,WHITWORTH,45.3,DIVISION 3
526,WIDENER,16.8,DIVISION 3
527,WILKES,14.2,DIVISION 3
528,WILLAMETTE,-11.0,DIVISION 3
529,WILLIAM PATERSON,8.6,DIVISION 3
530,WILLIAMS COLLEGE,26.4,DIVISION 3
531,WILMINGTON OHIO,8.9,DIVISION 3
532,WISCONSIN-EAU CLAIRE,36.2,DIVISION 3
533,WISCONSIN-La CROSSE,33.6,DIVISION 3
534,WISCONSIN-LUTHERAN,-7.0,DIVISION 3
535,WISCONSIN-OSHKOSH,35.7,DIVISION 3
536,WISCONSIN-PLATTEVILLE,41.3,DIVISION 3
537,WISCONSIN-RIVER FALLS,16.1,DIVISION 3
538,WISCONSIN-STEVENS POINT,22.8,DIVISION 3
539,WISCONSIN-STOUT,30.8,DIVISION 3
540,WISCONSIN-WHITEWATER,51.1,DIVISION 3
541,WITTENBERG,21.3,DIVISION 3
542,WOOSTER,14.8,DIVISION 3
